timeTaken,*****,accuracy,recall,precision,f_beta_score,specificity,tp,fn,fp,tn
496,594,800,840,778,808,760,42,8,12,38
497,600,860,878,843,860,843,43,6,8,43
498,594,840,792,894,840,894,42,11,5,42
499,592,820,830,830,830,809,44,9,9,38
500,604,820,786,880,830,864,44,12,6,38
501,594,880,815,957,880,957,44,10,2,44
502,594,830,759,911,828,913,41,13,4,42
503,602,930,960,906,932,900,48,2,5,45
504,593,830,727,952,825,956,40,15,2,43
505,591,830,784,870,825,878,40,11,6,43
506,598,860,833,900,865,891,45,9,5,41
507,592,860,849,882,865,872,45,8,6,41
508,592,870,880,863,871,860,44,6,7,43
509,607,880,868,902,885,894,46,7,5,42
510,595,860,833,900,865,891,45,9,5,41
511,601,900,904,904,904,896,47,5,5,43
512,595,910,865,957,909,958,45,7,2,46
513,596,860,849,882,865,872,45,8,6,41
514,608,830,796,878,835,870,43,11,6,40
515,594,870,868,885,876,872,46,7,6,41
516,595,870,922,839,879,816,47,4,9,40
517,594,820,774,872,820,872,41,12,6,41
518,601,810,778,857,816,848,42,12,7,39
519,597,820,815,846,830,826,44,10,8,38
520,595,930,939,920,929,922,46,3,4,47
521,594,890,865,918,891,917,45,7,4,44
522,601,890,849,938,891,936,45,8,3,44
523,605,830,833,849,841,826,45,9,8,38
524,593,790,833,755,792,750,40,8,13,39
525,595,860,860,860,860,860,43,7,7,43
526,595,870,811,935,869,936,43,10,3,44
527,598,880,887,887,887,872,47,6,6,41
528,605,820,857,792,824,784,42,7,11,40
529,594,840,852,852,852,826,46,8,8,38
530,594,870,885,868,876,854,46,6,7,41
531,595,880,846,917,880,917,44,8,4,44
532,607,820,778,875,824,870,42,12,6,40
533,596,810,750,894,816,886,42,14,5,39
534,594,870,815,936,871,935,44,10,3,43
535,597,820,750,913,824,909,42,14,4,40
536,598,860,846,880,863,875,44,8,6,42
537,609,840,792,894,840,894,42,11,5,42
538,594,820,786,880,830,864,44,12,6,38
539,591,850,811,896,851,894,43,10,5,42
540,588,770,720,800,758,820,36,14,9,41
541,594,840,840,840,840,840,42,8,8,42
542,611,730,796,729,761,652,43,11,16,30
543,599,880,868,902,885,894,46,7,5,42
544,592,830,804,854,828,857,41,10,7,42
545,594,900,868,939,902,936,46,7,3,44
546,594,930,939,920,929,922,46,3,4,47
547,610,860,885,852,868,833,46,6,8,40
548,596,840,837,837,837,843,41,8,8,43
549,594,770,710,898,793,868,44,18,5,33
550,604,830,830,846,838,830,44,9,8,39
551,602,850,843,860,851,857,43,8,7,42
552,593,820,820,820,820,820,41,9,9,41
553,593,890,860,915,887,920,43,7,4,46
554,594,840,792,894,840,894,42,11,5,42
555,593,870,821,939,876,932,46,10,3,41
556,607,810,827,811,819,792,43,9,10,38
557,596,850,846,863,854,854,44,8,7,41
558,595,840,824,857,840,857,42,9,7,42
559,594,890,873,923,897,911,48,7,4,41
560,603,810,759,898,822,881,44,14,5,37
561,594,900,941,873,906,857,48,3,7,42
562,594,860,860,860,860,860,43,7,7,43
563,601,810,804,849,826,818,45,11,8,36
564,615,920,920,920,920,920,46,4,4,46
565,594,910,887,940,913,936,47,6,3,44
566,596,790,788,804,796,792,41,11,10,38
567,592,880,863,898,880,898,44,7,5,44
568,597,900,868,939,902,936,46,7,3,44
569,601,880,865,900,882,896,45,7,5,43
570,597,860,849,882,865,872,45,8,6,41
571,595,840,833,865,849,848,45,9,7,39
572,597,840,821,885,852,864,46,10,6,38
573,599,850,898,815,854,804,44,5,10,41
574,595,900,865,938,900,938,45,7,3,45
575,598,850,846,863,854,854,44,8,7,41
576,594,850,843,860,851,857,43,8,7,42
577,593,830,800,880,838,867,44,11,6,39
578,606,880,855,922,887,911,47,8,4,41
579,596,840,782,915,843,911,43,12,4,41
580,599,870,818,938,874,933,45,10,3,42
581,593,890,885,902,893,896,46,6,5,43
582,604,850,808,894,848,896,42,10,5,43
583,593,910,873,960,914,956,48,7,2,43
584,594,830,780,867,821,880,39,11,6,44
585,593,910,942,891,916,875,49,3,6,42
586,606,820,811,843,827,830,43,10,8,39
587,593,870,849,900,874,894,45,8,5,42
588,598,900,827,977,896,979,43,9,1,47
589,594,850,778,933,848,935,42,12,3,43
590,605,820,750,913,824,909,42,14,4,40
591,592,850,865,849,857,833,45,7,8,40
592,594,870,896,843,869,846,43,5,8,44
593,599,870,804,932,863,939,41,10,3,46
594,596,850,878,827,851,824,43,6,9,42
595,594,890,885,902,893,896,46,6,5,43
596,596,820,768,896,827,886,43,13,5,39
597,616,840,786,917,846,909,44,12,4,40
598,594,890,857,941,897,932,48,8,3,41
599,592,770,772,815,793,767,44,13,10,33
600,607,830,792,875,832,872,42,11,6,41
601,594,840,831,891,860,854,49,10,6,35
602,594,850,811,896,851,894,43,10,5,42
603,593,840,782,915,843,911,43,12,4,41
604,602,840,764,933,840,933,42,13,3,42
605,594,890,917,863,889,865,44,4,7,45
606,593,820,882,789,833,755,45,6,12,37
607,594,860,821,920,868,909,46,10,4,40
608,624,850,833,882,857,870,45,9,6,40
609,594,900,868,939,902,936,46,7,3,44
610,596,860,839,904,870,886,47,9,5,39
611,590,840,839,870,855,841,47,9,7,37
612,605,730,690,816,748,786,40,18,9,33
613,595,920,918,918,918,922,45,4,4,47
614,594,930,893,980,935,977,50,6,1,43
615,594,830,818,865,841,844,45,10,7,38
616,599,860,878,843,860,843,43,6,8,43
617,593,860,873,873,873,844,48,7,7,38
618,594,850,868,852,860,830,46,7,8,39
619,593,850,836,885,860,867,46,9,6,39
620,593,920,922,922,922,918,47,4,4,45
621,601,780,740,804,771,820,37,13,9,41
622,593,850,818,900,857,889,45,10,5,40
623,594,830,792,875,832,872,42,11,6,41
624,594,810,811,827,819,809,43,10,9,38
625,595,870,887,870,879,851,47,6,7,40
626,605,830,800,851,825,860,40,10,7,43
627,593,840,824,857,840,857,42,9,7,42
628,593,890,917,863,889,865,44,4,7,45
629,592,900,870,940,904,935,47,7,3,43
